age_group,sex,education,income_group,race_group,obesity_rate,n
70-74,Male,Attended college or technical school,25k-35k,NH-White,0.3722113502935421,2555
70-74,Male,Graduated high school,25k-35k,NH-White,0.3962411902897416,2554
75-79,Male,Attended college or technical school,35k-50k,NH-White,0.32781717888100864,2538
70-74,Female,Graduated college or technical school,25k-35k,NH-White,0.3303006329113924,2528
65-69,Male,Attended college or technical school,25k-35k,NH-White,0.3916831683168317,2525
60-64,Male,Graduated high school,15k-25k,NH-White,0.3964285714285714,2520
60-64,Female,Attended college or technical school,25k-35k,NH-White,0.43504171632896305,2517
80+,Female,Graduated college or technical school,25k-35k,NH-White,0.19896331738437,2508
70-74,Male,Graduated college or technical school,200k+,NH-White,0.20907617504051865,2468
75-79,Male,Graduated high school,35k-50k,NH-White,0.3670731707317073,2460
75-79,Female,Attended college or technical school,15k-25k,NH-White,0.36057494866529777,2435
18-24,Female,Attended college or technical school,50k-100k,NH-White,0.20479933802234174,2417
60-64,Female,Graduated high school,25k-35k,NH-White,0.4259028642590286,2409
18-24,Male,Graduated high school,35k-50k,NH-White,0.20318391286133222,2387
35-39,Male,Attended college or technical school,100k-200k,NH-White,0.39823008849557523,2373
65-69,Female,Graduated college or technical school,25k-35k,NH-White,0.3777403035413153,2372
60-64,Male,Graduated high school,25k-35k,NH-White,0.3940033783783784,2368
55-59,Male,Graduated high school,100k-200k,NH-White,0.4660907127429806,2315
60-64,Male,Graduated high school,100k-200k,NH-White,0.4449262792714657,2306
60-64,Female,Attended college or technical school,15k-25k,NH-White,0.4470945359930616,2306
80+,Male,Graduated high school,15k-25k,NH-White,0.23537234042553193,2256
45-49,Female,Attended college or technical school,100k-200k,NH-White,0.4040590405904059,2168
60-64,Male,Attended college or technical school,35k-50k,NH-White,0.4180366369187412,2129
50-54,Male,Graduated high school,100k-200k,NH-White,0.4881404174573055,2108
75-79,Male,Graduated high school,25k-35k,NH-White,0.35724465558194773,2105
80+,Female,Graduated college or technical school,100k-200k,NH-White,0.12041884816753927,2101
25-29,Female,Attended college or technical school,50k-100k,NH-White,0.3568281938325991,2043
70-74,Male,Graduated high school,15k-25k,NH-White,0.36875612144955927,2042
65-69,Female,Attended college or technical school,100k-200k,NH-White,0.3049680275454993,2033
40-44,Female,Attended college or technical school,100k-200k,NH-White,0.378018728437654,2029
45-49,Female,Graduated high school,50k-100k,NH-White,0.4368340943683409,1971
70-74,Male,Graduated college or technical school,25k-35k,NH-White,0.3104859335038363,1955
75-79,Female,Graduated college or technical school,25k-35k,NH-White,0.3123076923076923,1950
