_STATE,state_name,year,obesity_rate,n
56.0,Wyoming,2022,0.3455463651787728,3150.0
56.0,Wyoming,2023,0.3423197959746426,3435.0
56.0,Wyoming,2024,0.3325702563390239,3597.0
66.0,Guam,2020,0.3494813286563118,1838.0
66.0,Guam,2021,0.34639041047873437,1312.0
66.0,Guam,2022,0.34736110234020295,1859.0
66.0,Guam,2023,0.3664303119195437,1277.0
66.0,Guam,2024,0.4510774356143177,1361.0
72.0,Puerto Rico,2020,0.3212078322272435,3841.0
72.0,Puerto Rico,2021,0.3733784936196556,3063.0
72.0,Puerto Rico,2022,0.35446895888667335,4301.0
72.0,Puerto Rico,2023,0.3679383946693424,3589.0
72.0,Puerto Rico,2024,0.3801867923472072,3230.0
78.0,Virgin Islands,2021,0.4006108876055951,999.0
78.0,Virgin Islands,2022,0.3322973947903665,1122.0
78.0,Virgin Islands,2023,0.33405042928775663,1535.0
78.0,Virgin Islands,2024,0.40278308199600343,988.0
