age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
70-74,Male,Graduated college or technical school,35k-50k,NH-White,0.3099475308207891,3006,1,0.3102400871590864,0.29509863030581396
70-74,Female,Attended college or technical school,25k-35k,NH-White,0.3923166644058763,2978,1,0.3917904433405566,0.39410310634640794
70-74,Male,Attended college or technical school,35k-50k,NH-White,0.3812428465956658,2974,1,0.3808265155603211,0.36696333634435646
30-34,Male,Attended college or technical school,50k-100k,NH-White,0.3585213022476499,2966,1,0.3583313783158292,0.37860262990591387
45-49,Male,Attended college or technical school,100k-200k,NH-White,0.4816131711597832,2950,1,0.4801830476137768,0.4269558411202975
25-29,Female,Graduated college or technical school,100k-200k,NH-White,0.2001912208764888,2943,1,0.2015975075705351,0.26004178560608077
75-79,Female,Graduated college or technical school,35k-50k,NH-White,0.288007578623615,2943,1,0.2885277264907478,0.2739364992598165
55-59,Female,Attended college or technical school,100k-200k,NH-White,0.3940411103121103,2930,1,0.3934888784399249,0.43318540941785216
75-79,Female,Attended college or technical school,35k-50k,NH-White,0.3118734856765477,2909,1,0.3121560383806641,0.34315647178100633
45-49,Female,Attended college or technical school,50k-100k,NH-White,0.4658831098934292,2907,1,0.4645927229921325,0.46988022092551823
60-64,Female,Attended college or technical school,100k-200k,NH-White,0.3323586928148119,2893,1,0.3324325437156843,0.41085241610765477
50-54,Male,Graduated high school,50k-100k,NH-White,0.4459327047597886,2825,1,0.4448148924392635,0.45511427180039193
80+,Male,Graduated college or technical school,35k-50k,NH-White,0.1995364482596135,2815,1,0.2010129099537808,0.16932657771601128
55-59,Female,Graduated high school,50k-100k,NH-White,0.4104523367758014,2804,1,0.4097018275536491,0.4563213779007242
35-39,Female,Attended college or technical school,50k-100k,NH-White,0.4168270100763444,2794,1,0.4160061236264167,0.4271400112329671
40-44,Female,Attended college or technical school,50k-100k,NH-White,0.4515989130612883,2792,1,0.4504077931377787,0.4480129861059396
65-69,Male,Graduated high school,35k-50k,NH-White,0.4000879730620425,2784,1,0.3994426240129427,0.39321735807395986
70-74,Female,Graduated high school,25k-35k,NH-White,0.3871580131648685,2773,1,0.3866485185422315,0.39580692516006516
40-44,Male,Attended college or technical school,100k-200k,NH-White,0.4253926038722084,2748,1,0.424465623617179,0.4055579830647334
65-69,Female,Attended college or technical school,25k-35k,NH-White,0.376339807132428,2740,1,0.3759414074045296,0.41927045570774973
45-49,Male,Attended college or technical school,50k-100k,NH-White,0.4469712842481125,2736,1,0.445806240300264,0.4482592023791095
50-54,Female,Attended college or technical school,100k-200k,NH-White,0.3774138447605236,2735,1,0.3770030713879662,0.4534721387088364
75-79,Female,Graduated high school,25k-35k,NH-White,0.3497496473648659,2732,1,0.3496389078814295,0.35113777522603257
35-39,Female,Graduated college or technical school,200k+,NH-White,0.1499267855093514,2714,1,0.1519999718804935,0.2525588583791963
70-74,Female,Graduated high school,35k-50k,NH-White,0.3906439292671591,2701,1,0.3900827096002531,0.3891099940908
80+,Female,Attended college or technical school,15k-25k,NH-White,0.2393458736896088,2671,1,0.2404588876685078,0.2387209623264341
60-64,Female,Graduated college or technical school,200k+,NH-White,0.1746957036590577,2656,1,0.176537012615842,0.2562885923174425
65-69,Male,Graduated high school,25k-35k,NH-White,0.3964626255124374,2644,1,0.3958241618633429,0.39993870015788413
65-69,Female,Graduated high school,25k-35k,NH-White,0.412289479942165,2626,1,0.4114679221746309,0.4210074765299229
75-79,Female,Attended college or technical school,25k-35k,NH-White,0.3474373689247442,2620,1,0.3473481258681223,0.3495150083701716
65-69,Male,Attended college or technical school,35k-50k,NH-White,0.3860457393143565,2598,1,0.3855150143479424,0.391517463080831
65-69,Female,Graduated high school,35k-50k,NH-White,0.3945297374760552,2591,1,0.3939004871301616,0.41417644868271575
65-69,Male,Attended college or technical school,100k-200k,NH-White,0.4148308786887207,2575,1,0.4139639691328792,0.3646665929743158
80+,Male,Graduated high school,25k-35k,NH-White,0.205804988955336,2562,1,0.2073530126046548,0.22623252861537396
40-44,Male,Graduated high school,50k-100k,NH-White,0.4652575951598704,2561,1,0.463802133605605,0.4283334526873326
80+,Male,Graduated high school,35k-50k,NH-White,0.214306599127896,2553,1,0.2157612754708529,0.22135359676753288
75-79,Female,Graduated high school,35k-50k,NH-White,0.3057293213873967,2543,1,0.3061237043357343,0.3447653636201189
75-79,Male,Graduated high school,50k-100k,NH-White,0.376086965032851,2526,1,0.3756581770894664,0.3193275701949348
