age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
75-79,Female,Attended college or technical school,200k+,AIAN,1.0,1,0
50-54,Female,Did not graduate high school,200k+,NHOPI,1.0,1,0
25-29,Female,Did not graduate high school,200k+,Asian,0.0,1,0
50-54,Female,Did not graduate high school,200k+,NH-Black,0.0,1,0
80+,Female,Did not graduate high school,100k-200k,Asian,0.0,1,0
18-24,Male,Graduated college or technical school,15k-25k,NHOPI,0.0,1,0
80+,Female,Did not graduate high school,100k-200k,Hispanic,0.0,1,0
35-39,Female,Graduated college or technical school,<15k,NHOPI,0.0,1,0
80+,Female,Did not graduate high school,100k-200k,NHOPI,0.0,1,0
50-54,Female,Did not graduate high school,100k-200k,NHOPI,0.0,1,0
35-39,Female,Graduated high school,200k+,NHOPI,1.0,1,0
80+,Male,Did not graduate high school,100k-200k,Asian,0.0,1,0
80+,Female,Did not graduate high school,100k-200k,AIAN,0.0,1,0
65-69,Female,Did not graduate high school,100k-200k,Other/Multiracial,0.0,1,0
35-39,Female,Graduated high school,200k+,AIAN,0.0,1,0
65-69,Female,Did not graduate high school,100k-200k,NHOPI,0.0,1,0
75-79,Male,Attended college or technical school,200k+,NHOPI,0.0,1,0
80+,Male,Attended college or technical school,<15k,NHOPI,0.0,1,0
35-39,Female,Did not graduate high school,100k-200k,NH-Black,1.0,1,0
30-34,Male,Graduated college or technical school,<15k,NHOPI,1.0,1,0
75-79,Female,Attended college or technical school,200k+,NHOPI,0.0,1,0
25-29,Female,Graduated high school,200k+,AIAN,1.0,1,0
35-39,Male,Graduated high school,200k+,NHOPI,0.0,1,0
70-74,Male,Graduated college or technical school,200k+,NHOPI,0.0,1,0
65-69,Male,Graduated college or technical school,15k-25k,NHOPI,0.0,1,0
65-69,Male,Did not graduate high school,200k+,AIAN,1.0,1,0
50-54,Female,Did not graduate high school,35k-50k,NHOPI,0.0,1,0
65-69,Male,Graduated college or technical school,25k-35k,NHOPI,1.0,1,0
65-69,Female,Did not graduate high school,100k-200k,AIAN,1.0,1,0
65-69,Female,Did not graduate high school,100k-200k,Asian,0.0,1,0
35-39,Male,Did not graduate high school,200k+,AIAN,0.0,1,0
55-59,Male,Graduated college or technical school,15k-25k,NHOPI,0.0,1,0
25-29,Female,Did not graduate high school,<15k,Asian,0.0,1,0
80+,Female,Graduated college or technical school,<15k,NHOPI,0.0,1,0
35-39,Male,Did not graduate high school,200k+,NHOPI,0.0,1,0
40-44,Female,Did not graduate high school,100k-200k,Other/Multiracial,0.0,2,0
40-44,Female,Did not graduate high school,100k-200k,NH-Black,0.7572993084342473,2,0
18-24,Female,Did not graduate high school,25k-35k,Asian,0.5609553777298704,2,0
60-64,Female,Did not graduate high school,100k-200k,Asian,0.0,2,0
70-74,Male,Did not graduate high school,50k-100k,NHOPI,1.0,2,0
60-64,Male,Did not graduate high school,100k-200k,Asian,0.1306055995375853,2,0
40-44,Male,Did not graduate high school,100k-200k,NHOPI,0.6693930236561456,2,0
45-49,Male,Did not graduate high school,200k+,Other/Multiracial,0.1308254098696745,2,0
60-64,Female,Graduated high school,200k+,Other/Multiracial,0.0,2,0
40-44,Male,Did not graduate high school,<15k,NHOPI,0.1260295119423831,2,0
40-44,Female,Graduated college or technical school,15k-25k,NHOPI,1.0,2,0
70-74,Female,Graduated high school,200k+,NHOPI,0.1687134936767923,2,0
70-74,Male,Did not graduate high school,15k-25k,NHOPI,0.0,2,0
40-44,Male,Graduated college or technical school,25k-35k,NHOPI,0.5911764779510225,2,0
60-64,Female,Graduated high school,200k+,Asian,0.0,2,0
70-74,Male,Did not graduate high school,200k+,Hispanic,0.0,2,0
80+,Male,Attended college or technical school,200k+,NHOPI,0.0,2,0
60-64,Male,Graduated high school,200k+,NHOPI,0.1735502976014592,2,0
18-24,Male,Graduated college or technical school,25k-35k,NHOPI,0.0,2,0
60-64,Female,Did not graduate high school,35k-50k,Asian,0.9416289454703332,2,0
75-79,Female,Attended college or technical school,<15k,NHOPI,0.1020938070564384,2,0
18-24,Female,Graduated high school,200k+,AIAN,0.0,2,0
75-79,Male,Graduated high school,<15k,NHOPI,1.0,2,0
30-34,Female,Did not graduate high school,25k-35k,NHOPI,1.0,2,0
50-54,Female,Did not graduate high school,50k-100k,Other/Multiracial,0.9009181748117596,2,0
25-29,Female,Did not graduate high school,35k-50k,Asian,0.5344294474759813,2,0
