age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed
75-79,Female,Attended college or technical school,25k-35k,NH-White,0.3474373689247442,2620,1,0.34734812586812236
65-69,Male,Attended college or technical school,35k-50k,NH-White,0.3860457393143565,2598,1,0.38551501434794244
65-69,Female,Graduated high school,35k-50k,NH-White,0.3945297374760552,2591,1,0.3939004871301616
65-69,Male,Attended college or technical school,100k-200k,NH-White,0.4148308786887207,2575,1,0.41396396913287925
80+,Male,Graduated high school,25k-35k,NH-White,0.205804988955336,2562,1,0.20735301260465488
40-44,Male,Graduated high school,50k-100k,NH-White,0.4652575951598704,2561,1,0.463802133605605
80+,Male,Graduated high school,35k-50k,NH-White,0.214306599127896,2553,1,0.21576127547085294
75-79,Female,Graduated high school,35k-50k,NH-White,0.3057293213873967,2543,1,0.3061237043357343
75-79,Male,Graduated high school,50k-100k,NH-White,0.376086965032851,2526,1,0.3756581770894664
30-34,Male,Graduated high school,50k-100k,NH-White,0.3421953578182485,2507,1,0.34216412653450673
75-79,Female,Graduated high school,15k-25k,NH-White,0.3508019238661296,2489,1,0.35066796961909136
80+,Female,Graduated high school,50k-100k,NH-White,0.2317147786501791,2478,1,0.2330047242674794
70-74,Male,Graduated college or technical school,200k+,NH-White,0.2018267864803657,2468,1,0.2034808390717522
35-39,Male,Graduated high school,50k-100k,NH-White,0.3703882739653651,2466,1,0.370017672502518
60-64,Female,Attended college or technical school,35k-50k,NH-White,0.3999545104979159,2453,1,0.39922474475194614
80+,Male,Graduated high school,50k-100k,NH-White,0.215693912656166,2444,1,0.21719585670952476
25-29,Male,Attended college or technical school,50k-100k,NH-White,0.3182580131111949,2428,1,0.31851793441890797
70-74,Female,Graduated high school,15k-25k,NH-White,0.4024796548017152,2416,1,0.40170787938210895
45-49,Male,Graduated high school,50k-100k,NH-White,0.4481417009808539,2414,1,0.4468087942452847
18-24,Male,Attended college or technical school,50k-100k,NH-White,0.1804251455503152,2410,1,0.1823816507147353
65-69,Female,Graduated high school,15k-25k,NH-White,0.4122774025494264,2396,1,0.41137810530755164
75-79,Female,Graduated high school,50k-100k,NH-White,0.289911827515674,2389,1,0.2905274836306903
35-39,Male,Attended college or technical school,100k-200k,NH-White,0.4017503057860206,2373,1,0.40097382546729987
25-29,Male,Graduated high school,50k-100k,NH-White,0.3127141761207868,2368,1,0.313049956639582
70-74,Male,Graduated high school,35k-50k,NH-White,0.3824865366363991,2350,1,0.38194537313581195
55-59,Male,Graduated high school,100k-200k,NH-White,0.4591398469064305,2315,1,0.4576099669748747
60-64,Male,Graduated high school,100k-200k,NH-White,0.4295984233534999,2306,1,0.4284420339130417
80+,Male,Attended college or technical school,35k-50k,NH-White,0.2070617350284826,2299,1,0.20876837947538684
75-79,Male,Graduated college or technical school,35k-50k,NH-White,0.2814846565099336,2298,1,0.28223297578501805
30-34,Female,Attended college or technical school,50k-100k,NH-White,0.385833248080161,2286,1,0.385233778963274
65-69,Male,Graduated college or technical school,35k-50k,NH-White,0.330677140844934,2259,1,0.33079348542437764
