age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
40-44,Female,Attended college or technical school,50k-100k,NH-White,0.4515989130612883,2792,1
65-69,Male,Graduated high school,35k-50k,NH-White,0.4000879730620425,2784,1
70-74,Female,Graduated high school,25k-35k,NH-White,0.3871580131648685,2773,1
40-44,Male,Attended college or technical school,100k-200k,NH-White,0.4253926038722084,2748,1
65-69,Female,Attended college or technical school,25k-35k,NH-White,0.376339807132428,2740,1
45-49,Male,Attended college or technical school,50k-100k,NH-White,0.4469712842481125,2736,1
50-54,Female,Attended college or technical school,100k-200k,NH-White,0.3774138447605236,2735,1
75-79,Female,Graduated high school,25k-35k,NH-White,0.3497496473648659,2732,1
35-39,Female,Graduated college or technical school,200k+,NH-White,0.1499267855093514,2714,1
70-74,Female,Graduated high school,35k-50k,NH-White,0.3906439292671591,2701,1
80+,Female,Attended college or technical school,15k-25k,NH-White,0.2393458736896088,2671,1
60-64,Female,Graduated college or technical school,200k+,NH-White,0.1746957036590577,2656,1
65-69,Male,Graduated high school,25k-35k,NH-White,0.3964626255124374,2644,1
65-69,Female,Graduated high school,25k-35k,NH-White,0.412289479942165,2626,1
75-79,Female,Attended college or technical school,25k-35k,NH-White,0.3474373689247442,2620,1
65-69,Male,Attended college or technical school,35k-50k,NH-White,0.3860457393143565,2598,1
65-69,Female,Graduated high school,35k-50k,NH-White,0.3945297374760552,2591,1
65-69,Male,Attended college or technical school,100k-200k,NH-White,0.4148308786887207,2575,1
80+,Male,Graduated high school,25k-35k,NH-White,0.205804988955336,2562,1
40-44,Male,Graduated high school,50k-100k,NH-White,0.4652575951598704,2561,1
80+,Male,Graduated high school,35k-50k,NH-White,0.214306599127896,2553,1
75-79,Female,Graduated high school,35k-50k,NH-White,0.3057293213873967,2543,1
75-79,Male,Graduated high school,50k-100k,NH-White,0.376086965032851,2526,1
30-34,Male,Graduated high school,50k-100k,NH-White,0.3421953578182485,2507,1
75-79,Female,Graduated high school,15k-25k,NH-White,0.3508019238661296,2489,1
80+,Female,Graduated high school,50k-100k,NH-White,0.2317147786501791,2478,1
70-74,Male,Graduated college or technical school,200k+,NH-White,0.2018267864803657,2468,1
35-39,Male,Graduated high school,50k-100k,NH-White,0.3703882739653651,2466,1
60-64,Female,Attended college or technical school,35k-50k,NH-White,0.3999545104979159,2453,1
