age,sex,race,education,income,weight,year,prop
18-24,Female,NH-Black,Attended college or technical school,35k-50k,127747,2020,0.000520652325558311
18-24,Female,NH-Black,Attended college or technical school,50k-100k,250834,2020,0.0010223121124495558
18-24,Female,NH-Black,Attended college or technical school,<15k,106501,2020,0.00043406102158395643
18-24,Female,NH-Black,Did not graduate high school,100k-200k,30041,2020,0.00012243666396938654
18-24,Female,NH-Black,Did not graduate high school,15k-25k,35818,2020,0.0001459817060036446
18-24,Female,NH-Black,Did not graduate high school,200k+,5539,2020,2.257503684053234e-05
18-24,Female,NH-Black,Did not graduate high school,25k-35k,30141,2020,0.00012284422917683432
18-24,Female,NH-Black,Did not graduate high school,35k-50k,36290,2020,0.00014790541378279808
18-24,Female,NH-Black,Did not graduate high school,50k-100k,59228,2020,0.00024139272106716908
18-24,Female,NH-Black,Did not graduate high school,<15k,49974,2020,0.00020367663676995184
18-24,Female,NH-Black,Graduated college or technical school,100k-200k,46879,2020,0.00019106249359944315
18-24,Female,NH-Black,Graduated college or technical school,15k-25k,14853,2020,6.053566026221824e-05
18-24,Female,NH-Black,Graduated college or technical school,200k+,15108,2020,6.157495154121007e-05
18-24,Female,NH-Black,Graduated college or technical school,25k-35k,14615,2020,5.9565655068492536e-05
18-24,Female,NH-Black,Graduated college or technical school,35k-50k,21879,2020,8.917119173749902e-05
18-24,Female,NH-Black,Graduated college or technical school,50k-100k,52432,2020,0.00021369458956901818
18-24,Female,NH-Black,Graduated college or technical school,<15k,15415,2020,6.282617672807474e-05
18-24,Female,NH-Black,Graduated high school,100k-200k,86859,2020,0.0003540070635370642
18-24,Female,NH-Black,Graduated high school,15k-25k,79258,2020,0.0003230280321189587
18-24,Female,NH-Black,Graduated high school,200k+,15519,2020,6.325004454382043e-05
18-24,Female,NH-Black,Graduated high school,25k-35k,71849,2020,0.00029283152589915296
18-24,Female,NH-Black,Graduated high school,35k-50k,91024,2020,0.00037098215442726406
18-24,Female,NH-Black,Graduated high school,50k-100k,173367,2020,0.0007065835731959867
18-24,Female,NH-Black,Graduated high school,<15k,102698,2020,0.0004185613167447175
18-24,Female,NH-White,Attended college or technical school,100k-200k,758736,2020,0.0030923439523809614
18-24,Female,NH-White,Attended college or technical school,15k-25k,232905,2020,0.0009492397464062438
18-24,Female,NH-White,Attended college or technical school,200k+,255088,2020,0.0010396499363743842
18-24,Female,NH-White,Attended college or technical school,25k-35k,228279,2020,0.0009303857799097097
18-24,Female,NH-White,Attended college or technical school,35k-50k,343080,2020,0.0013982747137118315
18-24,Female,NH-White,Attended college or technical school,50k-100k,874143,2020,0.0035627027313402167
18-24,Female,NH-White,Attended college or technical school,<15k,311312,2020,0.001268799398609822
18-24,Female,NH-White,Did not graduate high school,100k-200k,180143,2020,0.000734200191652648
18-24,Female,NH-White,Did not graduate high school,15k-25k,48981,2020,0.0001996295142599954
