age,sex,race,education,income,weight,year,prop
18-24,Female,NH-Black,Graduated high school,25k-35k,46344,2020,0.00018296342163485847
18-24,Female,NH-Black,Graduated high school,35k-50k,18843,2020,7.439107012484115e-05
18-24,Female,NH-Black,Graduated high school,50k-100k,4837,2020,1.9096195202136425e-05
18-24,Female,NH-Black,Graduated high school,<15k,485339,2020,0.0019160901970662993
18-24,Female,NH-White,Attended college or technical school,100k-200k,1515,2020,5.981132051113641e-06
18-24,Female,NH-White,Attended college or technical school,15k-25k,539940,2020,0.0021316517753652143
18-24,Female,NH-White,Attended college or technical school,200k+,2227,2020,8.792066718039655e-06
18-24,Female,NH-White,Attended college or technical school,25k-35k,276450,2020,0.001091408551505192
18-24,Female,NH-White,Attended college or technical school,35k-50k,118498,2020,0.000467823224945785
18-24,Female,NH-White,Attended college or technical school,50k-100k,37449,2020,0.00014784647800802293
18-24,Female,NH-White,Attended college or technical school,<15k,2764889,2020,0.010915621264469667
18-24,Female,NH-White,Did not graduate high school,100k-200k,331,2020,1.3067687847647625e-06
18-24,Female,NH-White,Did not graduate high school,15k-25k,53733,2020,0.00021213476468811174
18-24,Female,NH-White,Did not graduate high school,200k+,196,2020,7.737966217942401e-07
18-24,Female,NH-White,Did not graduate high school,25k-35k,18699,2020,7.382256648433925e-05
18-24,Female,NH-White,Did not graduate high school,35k-50k,8834,2020,3.487611916801182e-05
18-24,Female,NH-White,Did not graduate high school,50k-100k,4162,2020,1.6431334387283812e-05
18-24,Female,NH-White,Did not graduate high school,<15k,606473,2020,0.002394320196986827
18-24,Female,NH-White,Graduated college or technical school,100k-200k,5384,2020,2.125571944765402e-05
18-24,Female,NH-White,Graduated college or technical school,15k-25k,214173,2020,0.0008455425708139683
18-24,Female,NH-White,Graduated college or technical school,200k+,1374,2020,5.42447223645554e-06
18-24,Female,NH-White,Graduated college or technical school,25k-35k,176382,2020,0.0006963458966597533
18-24,Female,NH-White,Graduated college or technical school,35k-50k,206900,2020,0.0008168291890266748
18-24,Female,NH-White,Graduated college or technical school,50k-100k,154981,2020,0.0006118559910321077
18-24,Female,NH-White,Graduated college or technical school,<15k,563646,2020,0.0022252416871828377
18-24,Female,NH-White,Graduated high school,100k-200k,898,2020,3.545251869240957e-06
18-24,Female,NH-White,Graduated high school,15k-25k,356531,2020,0.0014075636906373582
18-24,Female,NH-White,Graduated high school,200k+,1055,2020,4.165078755065935e-06
18-24,Female,NH-White,Graduated high school,25k-35k,166352,2020,0.0006567480389220175
18-24,Female,NH-White,Graduated high school,35k-50k,58427,2020,0.0002306664041916942
18-24,Female,NH-White,Graduated high school,50k-100k,18015,2020,7.112217419195528e-05
18-24,Female,NH-White,Graduated high school,<15k,1524970,2020,0.006020493032334501
18-24,Male,AIAN,Attended college or technical school,100k-200k,40,2020,1.5791767791719186e-07
18-24,Male,AIAN,Attended college or technical school,15k-25k,4421,2020,1.745385135179763e-05
18-24,Male,AIAN,Attended college or technical school,200k+,68,2020,2.6846005245922615e-07
18-24,Male,AIAN,Attended college or technical school,25k-35k,3172,2020,1.2522871858833313e-05
18-24,Male,AIAN,Attended college or technical school,35k-50k,998,2020,3.940046064033936e-06
18-24,Male,AIAN,Attended college or technical school,50k-100k,909,2020,3.5886792306681848e-06
18-24,Male,AIAN,Attended college or technical school,<15k,17429,2020,6.880868021046842e-05
18-24,Male,AIAN,Did not graduate high school,100k-200k,18,2020,7.106295506273633e-08
18-24,Male,AIAN,Did not graduate high school,15k-25k,1622,2020,6.403561839542129e-06
18-24,Male,AIAN,Did not graduate high school,200k+,75,2020,2.960956460947347e-07
18-24,Male,AIAN,Did not graduate high school,25k-35k,390,2020,1.5396973596926204e-06
18-24,Male,AIAN,Did not graduate high school,35k-50k,292,2020,1.1527990487955005e-06
18-24,Male,AIAN,Did not graduate high school,50k-100k,73,2020,2.881997621988751e-07
18-24,Male,AIAN,Did not graduate high school,<15k,17158,2020,6.773878794257944e-05
18-24,Male,AIAN,Graduated college or technical school,15k-25k,393,2020,1.55154118553641e-06
18-24,Male,AIAN,Graduated college or technical school,25k-35k,355,2020,1.4015193915150775e-06
18-24,Male,AIAN,Graduated college or technical school,35k-50k,370,2020,1.4607385207340246e-06
18-24,Male,AIAN,Graduated college or technical school,50k-100k,266,2020,1.0501525581493257e-06
18-24,Male,AIAN,Graduated college or technical school,<15k,1319,2020,5.2073354293194015e-06
18-24,Male,AIAN,Graduated high school,100k-200k,98,2020,3.8689831089712003e-07
18-24,Male,AIAN,Graduated high school,15k-25k,6962,2020,2.748557184148724e-05
18-24,Male,AIAN,Graduated high school,200k+,135,2020,5.329721629705225e-07
18-24,Male,AIAN,Graduated high school,25k-35k,3815,2020,1.5061398531352173e-05
18-24,Male,AIAN,Graduated high school,35k-50k,2369,2020,9.352674474645688e-06
18-24,Male,AIAN,Graduated high school,50k-100k,898,2020,3.545251869240957e-06
18-24,Male,AIAN,Graduated high school,<15k,25378,2020,0.00010019087075456237
18-24,Male,Asian,Attended college or technical school,100k-200k,1679,2020,6.628594530574128e-06
18-24,Male,Asian,Attended college or technical school,15k-25k,73191,2020,0.0002889538191109297
18-24,Male,Asian,Attended college or technical school,200k+,346,2020,1.3659879139837096e-06
18-24,Male,Asian,Attended college or technical school,25k-35k,41199,2020,0.00016265126031275967
18-24,Male,Asian,Attended college or technical school,35k-50k,22456,2020,8.86549843827115e-05
18-24,Male,Asian,Attended college or technical school,50k-100k,15447,2020,6.098385926967156e-05
18-24,Male,Asian,Attended college or technical school,<15k,509123,2020,0.0020099880483558617
18-24,Male,Asian,Did not graduate high school,100k-200k,127,2020,5.013886273870841e-07
18-24,Male,Asian,Did not graduate high school,15k-25k,12336,2020,4.8701811869661966e-05
18-24,Male,Asian,Did not graduate high school,200k+,156,2020,6.158789438770482e-07
18-24,Male,Asian,Did not graduate high school,25k-35k,5680,2020,2.242431026424124e-05
18-24,Male,Asian,Did not graduate high school,35k-50k,3909,2020,1.5432505074457573e-05
18-24,Male,Asian,Did not graduate high school,50k-100k,2225,2020,8.784170834143797e-06
18-24,Male,Asian,Did not graduate high school,<15k,131590,2020,0.0005195096809280819
18-24,Male,Asian,Graduated college or technical school,100k-200k,7077,2020,2.7939585165499167e-05
18-24,Male,Asian,Graduated college or technical school,15k-25k,28334,2020,0.00011186098715264285
18-24,Male,Asian,Graduated college or technical school,200k+,969,2020,3.825555747543972e-06
18-24,Male,Asian,Graduated college or technical school,25k-35k,21905,2020,8.647966836940218e-05
18-24,Male,Asian,Graduated college or technical school,35k-50k,21141,2020,8.346344072118381e-05
18-24,Male,Asian,Graduated college or technical school,50k-100k,38608,2020,0.00015242214272567358
18-24,Male,Asian,Graduated college or technical school,<15k,129217,2020,0.0005101412146856445
18-24,Male,Asian,Graduated high school,100k-200k,821,2020,3.2412603392503626e-06
18-24,Male,Asian,Graduated high school,15k-25k,64249,2020,0.00025365132221254145
18-24,Male,Asian,Graduated high school,200k+,360,2020,1.4212591012547266e-06
18-24,Male,Asian,Graduated high school,25k-35k,36630,2020,0.00014461311355266844
18-24,Male,Asian,Graduated high school,35k-50k,20985,2020,8.284756177730678e-05
18-24,Male,Asian,Graduated high school,50k-100k,10059,2020,3.9712348054225817e-05
18-24,Male,Asian,Graduated high school,<15k,301831,2020,0.0011916112660855984
18-24,Male,Hispanic,Attended college or technical school,100k-200k,1989,2020,7.852456534432364e-06
18-24,Male,Hispanic,Attended college or technical school,15k-25k,232676,2020,0.0009185913406765132
18-24,Male,Hispanic,Attended college or technical school,200k+,459,2020,1.8121053540997764e-06
18-24,Male,Hispanic,Attended college or technical school,25k-35k,138820,2020,0.0005480533012116143
18-24,Male,Hispanic,Attended college or technical school,35k-50k,78114,2020,0.0003083895373205881
18-24,Male,Hispanic,Attended college or technical school,50k-100k,34662,2020,0.0001368435637991426
18-24,Male,Hispanic,Attended college or technical school,<15k,846635,2020,0.003342465831085543
18-24,Male,Hispanic,Did not graduate high school,100k-200k,848,2020,3.347854771844467e-06
18-24,Male,Hispanic,Did not graduate high school,15k-25k,102951,2020,0.00040644457148132044
18-24,Male,Hispanic,Did not graduate high school,200k+,413,2020,1.6305000244950058e-06
18-24,Male,Hispanic,Did not graduate high school,25k-35k,58928,2020,0.00023264432310760703
18-24,Male,Hispanic,Did not graduate high school,35k-50k,29344,2020,0.00011584840852005194
18-24,Male,Hispanic,Did not graduate high school,50k-100k,11612,2020,4.584350189936079e-05
18-24,Male,Hispanic,Did not graduate high school,<15k,456767,2020,0.0018032895997300493
18-24,Male,Hispanic,Graduated college or technical school,100k-200k,2201,2020,8.68942022739348e-06
18-24,Male,Hispanic,Graduated college or technical school,15k-25k,29611,2020,0.00011690250902014919
18-24,Male,Hispanic,Graduated college or technical school,200k+,142,2020,5.606077566060311e-07
18-24,Male,Hispanic,Graduated college or technical school,25k-35k,21469,2020,8.47583656801048e-05
18-24,Male,Hispanic,Graduated college or technical school,35k-50k,18996,2020,7.49951052428744e-05
18-24,Male,Hispanic,Graduated college or technical school,50k-100k,22946,2020,9.05894759371971e-05
18-24,Male,Hispanic,Graduated college or technical school,<15k,77454,2020,0.00030578389563495445
18-24,Male,Hispanic,Graduated high school,100k-200k,2726,2020,1.0762089750056624e-05
18-24,Male,Hispanic,Graduated high school,15k-25k,282494,2020,0.0011152699126384799
18-24,Male,Hispanic,Graduated high school,200k+,820,2020,3.237312397302433e-06
18-24,Male,Hispanic,Graduated high school,25k-35k,183279,2020,0.0007235748522746252
18-24,Male,Hispanic,Graduated high school,35k-50k,100054,2020,0.00039500738365816785
18-24,Male,Hispanic,Graduated high school,50k-100k,40826,2020,0.00016117867796618186
18-24,Male,Hispanic,Graduated high school,<15k,725158,2020,0.0028628816870768753
18-24,Male,NH-Black,Attended college or technical school,100k-200k,943,2020,3.722909256897798e-06
