GEO_ID,NAME,education,population,year,prop
0500000US05009,"Boone County, Arkansas",Did not graduate high school,4567.0,2020,0.15161675851537082
0500000US05011,"Bradley County, Arkansas",Did not graduate high school,2003.0,2020,0.22049757815940116
0500000US05013,"Calhoun County, Arkansas",Did not graduate high school,1107.0,2020,0.22568807339449543
0500000US05015,"Carroll County, Arkansas",Did not graduate high school,4069.0,2020,0.17636095700416088
0500000US05017,"Chicot County, Arkansas",Did not graduate high school,2446.0,2020,0.2740923352756611
0500000US05019,"Clark County, Arkansas",Did not graduate high school,2316.0,2020,0.15039937658289498
0500000US05021,"Clay County, Arkansas",Did not graduate high school,2457.0,2020,0.20347826086956522
0500000US05023,"Cleburne County, Arkansas",Did not graduate high school,3655.0,2020,0.17045984516369742
0500000US05025,"Cleveland County, Arkansas",Did not graduate high school,1065.0,2020,0.154459753444525
0500000US05027,"Columbia County, Arkansas",Did not graduate high school,3065.0,2020,0.17677932864228862
0500000US05029,"Conway County, Arkansas",Did not graduate high school,2982.0,2020,0.1769837972579975
0500000US05031,"Craighead County, Arkansas",Did not graduate high school,9852.0,2020,0.1281210986267166
0500000US05033,"Crawford County, Arkansas",Did not graduate high school,8918.0,2020,0.18598928027696093
0500000US05035,"Crittenden County, Arkansas",Did not graduate high school,6543.0,2020,0.18954778527767316
0500000US05037,"Cross County, Arkansas",Did not graduate high school,3122.0,2020,0.23137923367672125
0500000US05039,"Dallas County, Arkansas",Did not graduate high school,1154.0,2020,0.18745938921377517
0500000US05041,"Desha County, Arkansas",Did not graduate high school,2332.0,2020,0.2510226049515608
0500000US05043,"Drew County, Arkansas",Did not graduate high school,2355.0,2020,0.17088745374065742
0500000US05045,"Faulkner County, Arkansas",Did not graduate high school,8224.0,2020,0.09868010559155267
0500000US05047,"Franklin County, Arkansas",Did not graduate high school,2681.0,2020,0.18596101824235278
0500000US05049,"Fulton County, Arkansas",Did not graduate high school,2284.0,2020,0.2089088081953718
0500000US05051,"Garland County, Arkansas",Did not graduate high school,10120.0,2020,0.12887287175111745
0500000US05053,"Grant County, Arkansas",Did not graduate high school,1993.0,2020,0.13322192513368983
0500000US05055,"Greene County, Arkansas",Did not graduate high school,4740.0,2020,0.14026158489672724
0500000US05057,"Hempstead County, Arkansas",Did not graduate high school,3421.0,2020,0.20352192277946338
0500000US05059,"Hot Spring County, Arkansas",Did not graduate high school,4267.0,2020,0.15497203457543401
0500000US05061,"Howard County, Arkansas",Did not graduate high school,2026.0,2020,0.1928238317312268
0500000US05063,"Independence County, Arkansas",Did not graduate high school,5102.0,2020,0.17781960128258747
0500000US05065,"Izard County, Arkansas",Did not graduate high school,2884.0,2020,0.2328999434708875
0500000US05067,"Jackson County, Arkansas",Did not graduate high school,2941.0,2020,0.2084780605373219
0500000US05069,"Jefferson County, Arkansas",Did not graduate high school,7452.0,2020,0.147918775680343
0500000US05071,"Johnson County, Arkansas",Did not graduate high school,4995.0,2020,0.24676415373974903
0500000US05073,"Lafayette County, Arkansas",Did not graduate high school,1601.0,2020,0.2695286195286195
0500000US05075,"Lawrence County, Arkansas",Did not graduate high school,2665.0,2020,0.2045123167830558
0500000US05077,"Lee County, Arkansas",Did not graduate high school,2093.0,2020,0.2680927372870501
0500000US05079,"Lincoln County, Arkansas",Did not graduate high school,2899.0,2020,0.24929056668673144
0500000US05081,"Little River County, Arkansas",Did not graduate high school,1504.0,2020,0.1453420950908388
0500000US05083,"Logan County, Arkansas",Did not graduate high school,2905.0,2020,0.1670500287521564
0500000US05085,"Lonoke County, Arkansas",Did not graduate high school,6691.0,2020,0.12540530409521133
0500000US05087,"Madison County, Arkansas",Did not graduate high school,2633.0,2020,0.19592231564848575
0500000US05089,"Marion County, Arkansas",Did not graduate high school,2690.0,2020,0.1806096414663623
0500000US05091,"Miller County, Arkansas",Did not graduate high school,6022.0,2020,0.1786731545217185
0500000US05093,"Mississippi County, Arkansas",Did not graduate high school,6472.0,2020,0.2103689257272875
0500000US05095,"Monroe County, Arkansas",Did not graduate high school,1693.0,2020,0.2768601798855274
0500000US05097,"Montgomery County, Arkansas",Did not graduate high school,1775.0,2020,0.21627878640185208
0500000US05099,"Nevada County, Arkansas",Did not graduate high school,1172.0,2020,0.16740465647764605
0500000US05101,"Newton County, Arkansas",Did not graduate high school,1321.0,2020,0.1915603248259861
0500000US05103,"Ouachita County, Arkansas",Did not graduate high school,3420.0,2020,0.1786833855799373
0500000US05105,"Perry County, Arkansas",Did not graduate high school,1415.0,2020,0.15999547715965626
0500000US05107,"Phillips County, Arkansas",Did not graduate high school,3324.0,2020,0.2295263085209225
0500000US05109,"Pike County, Arkansas",Did not graduate high school,1795.0,2020,0.19975517471622523
0500000US05111,"Poinsett County, Arkansas",Did not graduate high school,4282.0,2020,0.232225174901025
0500000US05113,"Polk County, Arkansas",Did not graduate high school,2942.0,2020,0.1822687565826157
0500000US05115,"Pope County, Arkansas",Did not graduate high school,8508.0,2020,0.1846835113310758
0500000US05117,"Prairie County, Arkansas",Did not graduate high school,1371.0,2020,0.19217830109335576
0500000US05119,"Pulaski County, Arkansas",Did not graduate high school,27874.0,2020,0.09917984664377591
0500000US05121,"Randolph County, Arkansas",Did not graduate high school,2925.0,2020,0.19869574077847973
0500000US05123,"St. Francis County, Arkansas",Did not graduate high school,4653.0,2020,0.2244248299811894
0500000US05125,"Saline County, Arkansas",Did not graduate high school,9675.0,2020,0.10653643711322043
0500000US05127,"Scott County, Arkansas",Did not graduate high school,2397.0,2020,0.2666592501946824
0500000US05129,"Searcy County, Arkansas",Did not graduate high school,1721.0,2020,0.24596255538087752
0500000US05131,"Sebastian County, Arkansas",Did not graduate high school,17110.0,2020,0.18268984368326643
0500000US05133,"Sevier County, Arkansas",Did not graduate high school,3873.0,2020,0.2996750232126277
0500000US05135,"Sharp County, Arkansas",Did not graduate high school,2873.0,2020,0.1989061201883135
