_STATE,state_code,age_group,sex,education,income_group,race_group,observed,n,predicted,residual
2.0,1,25-29,Male,Graduated college or technical school,50k-100k,NH-White,0.21438949768383006,54.0,0.2566737138012147,-0.042284216117384615
2.0,1,25-29,Male,Graduated high school,50k-100k,NH-White,0.20756162775940715,36.0,0.3250236735382758,-0.11746204577886868
2.0,1,30-34,Female,Attended college or technical school,50k-100k,NH-White,0.43643773640892425,37.0,0.39528559598231294,0.041152140426611306
2.0,1,30-34,Female,Graduated college or technical school,100k-200k,NH-White,0.18978772967334173,74.0,0.3021867848901147,-0.11239905521677296
2.0,1,30-34,Female,Graduated college or technical school,50k-100k,NH-White,0.30031586419922485,98.0,0.3207342710449685,-0.020418406845743642
2.0,1,30-34,Male,Attended college or technical school,100k-200k,NH-White,0.4305526786931575,31.0,0.35459466856248756,0.07595801013066994
2.0,1,30-34,Male,Attended college or technical school,50k-100k,NH-White,0.4049679294499544,53.0,0.374631904251612,0.030336025198342387
2.0,1,30-34,Male,Graduated college or technical school,100k-200k,NH-White,0.4149551829760666,66.0,0.2841120685893201,0.1308431143867465
2.0,1,30-34,Male,Graduated college or technical school,50k-100k,NH-White,0.3739781909255732,73.0,0.3020303400066699,0.07194785091890332
2.0,1,30-34,Male,Graduated high school,50k-100k,NH-White,0.49124618490563327,46.0,0.3763432894959347,0.11490289540969856
2.0,1,35-39,Female,Attended college or technical school,50k-100k,NH-White,0.24803791483115925,37.0,0.4227852900336861,-0.17474737520252684
2.0,1,35-39,Female,Graduated college or technical school,100k-200k,NH-White,0.2490748500428064,108.0,0.32670889442525425,-0.07763404438244784
2.0,1,35-39,Female,Graduated college or technical school,200k+,NH-White,0.17495018293794418,32.0,0.24916473599730757,-0.07421455305936339
2.0,1,35-39,Female,Graduated college or technical school,50k-100k,NH-White,0.31540175023565376,69.0,0.3460151706639467,-0.03061342042829296
2.0,1,35-39,Male,Attended college or technical school,100k-200k,NH-White,0.41037623864500533,53.0,0.38104731547967013,0.029328923165335197
