age_group,sex,education,income_group,race_group,obesity_rate,n,reliable,obesity_rate_smoothed,obesity_rate_modeled
18-24,Male,Graduated high school,50k-100k,NH-White,0.1790452078162642,3487,1,0.1804145413343482,0.21092344356521955
80+,Female,Attended college or technical school,25k-35k,NH-White,0.1755264888191238,3470,1,0.1769326338342712,0.2406461152729128
25-29,Male,Graduated college or technical school,100k-200k,NH-White,0.1925696244934512,3459,1,0.1938336581657888,0.2439179772643318
80+,Female,Graduated high school,35k-50k,NH-White,0.1996361806001579,3447,1,0.2008436056216088,0.23692713904481624
45-49,Female,Graduated college or technical school,200k+,NH-White,0.1892476408708701,3444,1,0.1905458196248895,0.28653271155304383
40-44,Female,Graduated college or technical school,200k+,NH-White,0.1760335108818833,3426,1,0.1774531569730676,0.26900753744389583
75-79,Female,Graduated college or technical school,100k-200k,NH-White,0.1836183995074781,3402,1,0.1849816717197057,0.25180631851458846
65-69,Female,Attended college or technical school,35k-50k,NH-White,0.3709419611617133,3387,1,0.3706665860908143,0.41254795368800257
80+,Male,Attended college or technical school,50k-100k,NH-White,0.2441421204210883,3382,1,0.2449812290391883,0.21553385623814858
55-59,Female,Graduated college or technical school,200k+,NH-White,0.1981701777382153,3342,1,0.1994282432439814,0.27446946035168585
35-39,Male,Graduated college or technical school,200k+,NH-White,0.2163742648910414,3339,1,0.217471348378978,0.23652933603363663
55-59,Male,Attended college or technical school,100k-200k,NH-White,0.4545710467534205,3329,1,0.4535440062101002,0.41238939905950045
80+,Female,Attended college or technical school,50k-100k,NH-White,0.1767392072293063,3328,1,0.1781939797131391,0.2306514017043865
70-74,Male,Graduated high school,50k-100k,NH-White,0.3674934341156134,3302,1,0.367242083333537,0.36218924503896266
45-49,Male,Graduated college or technical school,50k-100k,NH-White,0.3986283816739766,3298,1,0.3980960651978258,0.3698029779217347
80+,Female,Attended college or technical school,35k-50k,NH-White,0.1931556981245585,3286,1,0.1944803758307867,0.23561022458935832
80+,Female,Graduated college or technical school,35k-50k,NH-White,0.1978844433960542,3285,1,0.1991667266285453,0.18210497778126128
60-64,Male,Attended college or technical school,100k-200k,NH-White,0.4362130843611513,3284,1,0.4353382834217291,0.3898445043541334
65-69,Female,Graduated college or technical school,35k-50k,NH-White,0.3473554241367129,3268,1,0.3472846659479585,0.3365528832786774
50-54,Male,Attended college or technical school,50k-100k,NH-White,0.4523634087091824,3236,1,0.451327401347368,0.4533886852885189
50-54,Male,Attended college or technical school,100k-200k,NH-White,0.5115405774483114,3233,1,0.5099595430916275,0.4320493045813376
35-39,Male,Attended college or technical school,50k-100k,NH-White,0.404870638322145,3117,1,0.4042481988775709,0.40610752885115486
65-69,Male,Graduated college or technical school,200k+,NH-White,0.2675691464190971,3109,1,0.2682573362327373,0.22094794291782816
40-44,Male,Attended college or technical school,50k-100k,NH-White,0.4239979061105673,3052,1,0.4231761556349906,0.42673366984641253
70-74,Female,Graduated high school,50k-100k,NH-White,0.3339483149044355,3015,1,0.3340037673742078,0.38257661672382204
70-74,Male,Graduated college or technical school,35k-50k,NH-White,0.3094696311486917,3006,1,0.3097671322300912,0.29511139759075833
70-74,Female,Attended college or technical school,25k-35k,NH-White,0.3916393190175581,2978,1,0.3911200778762891,0.39402414520631357
70-74,Male,Attended college or technical school,35k-50k,NH-White,0.3817541683952392,2974,1,0.3813329557340316,0.36692412658372003
30-34,Male,Attended college or technical school,50k-100k,NH-White,0.3594182420865593,2966,1,0.3592195621649948,0.37898038706272985
45-49,Male,Attended college or technical school,100k-200k,NH-White,0.4814193439723943,2950,1,0.4799913983007224,0.4269472860399731
25-29,Female,Graduated college or technical school,100k-200k,NH-White,0.2008308605456196,2943,1,0.2022309198800363,0.26036561456556173
75-79,Female,Graduated college or technical school,35k-50k,NH-White,0.2878702429071389,2943,1,0.2883920037313486,0.2739332978153257
55-59,Female,Attended college or technical school,100k-200k,NH-White,0.3956548548028049,2930,1,0.3950864955370973,0.43368113819315823
75-79,Female,Attended college or technical school,35k-50k,NH-White,0.3116836297040156,2909,1,0.3119683501281289,0.3431009659359076
45-49,Female,Attended college or technical school,50k-100k,NH-White,0.4661330206769238,2907,1,0.464840310972219,0.4698960226735158
60-64,Female,Attended college or technical school,100k-200k,NH-White,0.331554555797749,2893,1,0.3316368909136084,0.41078597183731963
50-54,Male,Graduated high school,50k-100k,NH-White,0.4458559195594507,2825,1,0.4447391506035159,0.45519796960599485
80+,Male,Graduated college or technical school,35k-50k,NH-White,0.2002633606463777,2815,1,0.2017323945297514,0.16946841525322043
55-59,Female,Graduated high school,50k-100k,NH-White,0.4110227051400217,2804,1,0.4102663964115069,0.4568469067869437
35-39,Female,Attended college or technical school,50k-100k,NH-White,0.4169816019216451,2794,1,0.4161593123182245,0.42731078984338217
40-44,Female,Attended college or technical school,50k-100k,NH-White,0.4518924810049362,2792,1,0.4506984795121798,0.44820111426510895
65-69,Male,Graduated high school,35k-50k,NH-White,0.399931458821589,2784,1,0.3992880183286757,0.3933164644282654
70-74,Female,Graduated high school,25k-35k,NH-White,0.3873246429496865,2773,1,0.386813605821288,0.395768054698513
40-44,Male,Attended college or technical school,100k-200k,NH-White,0.4251866647034635,2748,1,0.4242621514840559,0.40571766149100136
65-69,Female,Attended college or technical school,25k-35k,NH-White,0.3762608351595208,2740,1,0.3758635344962732,0.4192912270576429
45-49,Male,Attended college or technical school,50k-100k,NH-White,0.4470724027245369,2736,1,0.4459065061720617,0.4482335494151569
50-54,Female,Attended college or technical school,100k-200k,NH-White,0.3772119273400485,2735,1,0.3768035889665903,0.4535725823386712
75-79,Female,Graduated high school,25k-35k,NH-White,0.34888236725061,2732,1,0.3487812923773556,0.3510450100592942
35-39,Female,Graduated college or technical school,200k+,NH-White,0.1503113911946032,2714,1,0.1523806187754164,0.25264523143433687
70-74,Female,Graduated high school,35k-50k,NH-White,0.3908503663550483,2701,1,0.3902871262330923,0.38914957584522236
80+,Female,Attended college or technical school,15k-25k,NH-White,0.2398383339131629,2671,1,0.2409461281375964,0.23876374016277457
60-64,Female,Graduated college or technical school,200k+,NH-White,0.1746213234414116,2656,1,0.1764637145487636,0.2561773583837831
65-69,Male,Graduated high school,25k-35k,NH-White,0.3970744260900381,2644,1,0.3964293510843868,0.39995941005540575
65-69,Female,Graduated high school,25k-35k,NH-White,0.4111924226509116,2626,1,0.4103835105793989,0.4210692600266031
75-79,Female,Attended college or technical school,25k-35k,NH-White,0.3474891954280323,2620,1,0.3473996204675601,0.349384217909704
65-69,Male,Attended college or technical school,35k-50k,NH-White,0.386341674343193,2598,1,0.3858078280674296,0.39157635686690356
65-69,Female,Graduated high school,35k-50k,NH-White,0.3947948889631583,2591,1,0.394162861320539,0.4143177932185824
65-69,Male,Attended college or technical school,100k-200k,NH-White,0.4151132333401417,2575,1,0.4142433313122666,0.3647201412262928
