age_group,sex,education,income_group,race_group,predicted,observed,n,reliable
45-49,Female,Graduated high school,50k-100k,NH-White,0.4608372203949876,0.4321242805514403,1393,1
25-29,Female,Graduated college or technical school,35k-50k,NH-White,0.2747610372148487,0.2710405961519239,1355,1
80+,Male,Graduated college or technical school,200k+,NH-White,0.1069978900496269,0.1351595929191168,1353,1
70-74,Male,Attended college or technical school,15k-25k,NH-White,0.3612053258128373,0.3645128969233274,1347,1
60-64,Male,Graduated college or technical school,35k-50k,NH-White,0.331670450496889,0.3454038238692073,1342,1
60-64,Female,Graduated high school,100k-200k,NH-White,0.40222620124445674,0.3570970656820182,1321,1
55-59,Female,Graduated high school,25k-35k,NH-White,0.45977739641379595,0.4607887301845695,1293,1
55-59,Female,Graduated high school,35k-50k,NH-White,0.4529178566112226,0.467325889753038,1293,1
55-59,Female,Graduated high school,100k-200k,NH-White,0.4249006195043204,0.3422847276372003,1283,1
60-64,Female,Graduated college or technical school,25k-35k,NH-White,0.3575441367289178,0.3532392745802538,1280,1
60-64,Female,Graduated high school,<15k,NH-White,0.42761877465726084,0.4232278426148801,1276,1
25-29,Male,Graduated high school,35k-50k,NH-White,0.3260507560748621,0.3367213203201019,1272,1
75-79,Male,Graduated college or technical school,25k-35k,NH-White,0.2545091648266804,0.3058601754399229,1253,1
55-59,Female,Attended college or technical school,25k-35k,NH-White,0.45797234380655727,0.4560319386870706,1231,1
50-54,Female,Attended college or technical school,35k-50k,NH-White,0.4710639328946117,0.4681827039656862,1231,1
60-64,Male,Attended college or technical school,15k-25k,NH-White,0.4111503895406808,0.3982902243413137,1228,1
55-59,Male,Graduated high school,25k-35k,NH-White,0.4382799584053729,0.4390361671918096,1220,1
65-69,Female,Graduated high school,<15k,NH-White,0.40176101299120687,0.3952528617181538,1217,1
55-59,Female,Graduated high school,15k-25k,NH-White,0.45722309224822477,0.4972454440855999,1216,1
35-39,Female,Graduated high school,50k-100k,NH-White,0.4185882793870603,0.4305489162639994,1210,1
30-34,Male,Graduated high school,100k-200k,NH-White,0.35090679638847305,0.3644113205039074,1200,1
60-64,Male,Graduated high school,<15k,NH-White,0.4064918487897001,0.3955276772463086,1190,1
25-29,Male,Graduated college or technical school,35k-50k,NH-White,0.2577716397080377,0.1836419102024064,1181,1
80+,Female,Graduated high school,<15k,NH-White,0.22813607669839714,0.241974080369675,1179,1
80+,Female,Graduated college or technical school,15k-25k,NH-White,0.17887271779010266,0.246624210139407,1177,1
65-69,Female,Graduated college or technical school,15k-25k,NH-White,0.3311645821718477,0.3816842357999925,1160,1
30-34,Female,Graduated high school,50k-100k,NH-White,0.3912795137452153,0.4071816041824799,1159,1
70-74,Female,Graduated college or technical school,15k-25k,NH-White,0.3084638852887873,0.3756988096972808,1155,1
18-24,Male,Graduated college or technical school,100k-200k,NH-White,0.14465196334106145,0.1546535900991439,1151,1
18-24,Male,Attended college or technical school,35k-50k,NH-White,0.2077306778534868,0.1906841634505099,1146,1
55-59,Male,Graduated high school,15k-25k,NH-White,0.43574863766239835,0.4605423135558776,1140,1
